"Rec..","Date","Time","Temperature.degC.","Pressure.psi.","day","month","year","DOY"
1,2023-03-08,"11:58:20",3.25,0.153,8,3,2023,67
2,2023-03-08,"12:03:20",3.13,0.152,8,3,2023,67
3,2023-03-08,"12:08:20",3.06,0.153,8,3,2023,67
4,2023-03-08,"12:13:20",3.13,0.153,8,3,2023,67
5,2023-03-08,"12:18:20",3.13,0.153,8,3,2023,67
6,2023-03-08,"12:23:20",3.06,0.152,8,3,2023,67
7,2023-03-08,"12:28:20",3.13,0.152,8,3,2023,67
8,2023-03-08,"12:33:20",3.13,0.153,8,3,2023,67
9,2023-03-08,"12:38:20",3.13,0.153,8,3,2023,67
10,2023-03-08,"12:43:20",3.13,0.153,8,3,2023,67
11,2023-03-08,"12:48:20",3.13,0.152,8,3,2023,67
12,2023-03-08,"12:53:20",3.13,0.152,8,3,2023,67
13,2023-03-08,"12:58:20",3.13,0.153,8,3,2023,67
14,2023-03-08,"13:03:20",3.13,0.153,8,3,2023,67
15,2023-03-08,"13:08:20",3.13,0.153,8,3,2023,67
16,2023-03-08,"13:13:20",3.06,0.152,8,3,2023,67
17,2023-03-08,"13:18:20",3.06,0.153,8,3,2023,67
18,2023-03-08,"13:23:20",3.06,0.152,8,3,2023,67
19,2023-03-08,"13:28:20",3.06,0.153,8,3,2023,67
20,2023-03-08,"13:33:20",3.06,0.153,8,3,2023,67
21,2023-03-08,"13:38:20",3.13,0.153,8,3,2023,67
22,2023-03-08,"13:43:20",3.06,0.153,8,3,2023,67
23,2023-03-08,"13:48:20",3.13,0.153,8,3,2023,67
24,2023-03-08,"13:53:20",3.06,0.153,8,3,2023,67
25,2023-03-08,"13:58:20",3.13,0.152,8,3,2023,67
26,2023-03-08,"14:03:20",3.13,0.153,8,3,2023,67
27,2023-03-08,"14:08:20",3.13,0.153,8,3,2023,67
28,2023-03-08,"14:13:20",3.13,0.153,8,3,2023,67
29,2023-03-08,"14:18:20",3.13,0.153,8,3,2023,67
30,2023-03-08,"14:23:20",3.13,0.153,8,3,2023,67
31,2023-03-08,"14:28:20",3.13,0.154,8,3,2023,67
32,2023-03-08,"14:33:20",3.13,0.153,8,3,2023,67
33,2023-03-08,"14:38:20",3.13,0.153,8,3,2023,67
34,2023-03-08,"14:43:20",3.13,0.153,8,3,2023,67
35,2023-03-08,"14:48:20",3.13,0.153,8,3,2023,67
36,2023-03-08,"14:53:20",3.13,0.154,8,3,2023,67
37,2023-03-08,"14:58:20",3.13,0.154,8,3,2023,67
38,2023-03-08,"15:03:20",3.13,0.154,8,3,2023,67
39,2023-03-08,"15:08:20",3.13,0.154,8,3,2023,67
40,2023-03-08,"15:13:20",3.13,0.153,8,3,2023,67
41,2023-03-08,"15:18:20",3.13,0.154,8,3,2023,67
