Rec #,Date/Time,Temperature(degC),Pressure(psi)
1,06/03/2019 8:49,0.5,0.003
2,06/03/2019 9:04,0.31,0.003
3,06/03/2019 9:19,0.31,0.003
4,06/03/2019 9:34,0.38,0.003
5,06/03/2019 9:49,0.38,0.003
6,06/03/2019 10:04,0.38,0.003
7,06/03/2019 10:19,0.38,0.003
8,06/03/2019 10:34,0.38,0.003
9,06/03/2019 10:49,0.38,0.003
10,06/03/2019 11:04,0.44,0.003
11,06/03/2019 11:19,0.44,0.003
12,06/03/2019 11:34,0.5,0.003
13,06/03/2019 11:49,0.5,0.003
14,06/03/2019 12:04,0.5,0.003
15,06/03/2019 12:19,0.5,0.003
16,06/03/2019 12:34,0.56,0.003
17,06/03/2019 12:49,0.56,0.003
18,06/03/2019 13:04,0.56,0.003
19,06/03/2019 13:19,0.63,0.003
20,06/03/2019 13:34,0.63,0.003
21,06/03/2019 13:49,0.63,0.003
22,06/03/2019 14:04,0.63,0.003
23,06/03/2019 14:19,0.63,0.003
24,06/03/2019 14:34,0.69,0.003
25,06/03/2019 14:49,0.69,0.003
26,06/03/2019 15:04,0.69,0.003
27,06/03/2019 15:19,0.69,0.003
28,06/03/2019 15:34,0.75,0.003
29,06/03/2019 15:49,0.75,0.003
30,06/03/2019 16:04,0.75,0.003
31,06/03/2019 16:19,0.75,0.003
32,06/03/2019 16:34,0.81,0.003
33,06/03/2019 16:49,0.81,0.003
34,06/03/2019 17:04,0.81,0.003
35,06/03/2019 17:19,0.81,0.003
36,06/03/2019 17:34,0.81,0.003
37,06/03/2019 17:49,0.81,0.003
38,06/03/2019 18:04,0.81,0.003
39,06/03/2019 18:19,0.81,0.003
40,06/03/2019 18:34,0.81,0.003
41,06/03/2019 18:49,0.81,0.003
42,06/03/2019 19:04,0.81,0.003
43,06/03/2019 19:19,0.81,0.003
44,06/03/2019 19:34,0.81,0.003
45,06/03/2019 19:49,0.81,0.003
46,06/03/2019 20:04,0.81,0.003
47,06/03/2019 20:19,0.81,0.003
48,06/03/2019 20:34,0.81,0.003
49,06/03/2019 20:49,0.81,0.003
50,06/03/2019 21:04,0.81,0.003
51,06/03/2019 21:19,0.81,0.003
52,06/03/2019 21:34,0.81,0.003
53,06/03/2019 21:49,0.75,0.003
54,06/03/2019 22:04,0.75,0.003
55,06/03/2019 22:19,0.75,0.003
56,06/03/2019 22:34,0.75,0.003
57,06/03/2019 22:49,0.75,0.003
58,06/03/2019 23:04,0.75,0.003
59,06/03/2019 23:19,0.75,0.003
60,06/03/2019 23:34,0.75,0.003
61,06/03/2019 23:49,0.75,0.003
62,07/03/2019 0:04,0.75,0.003
63,07/03/2019 0:19,0.69,0.003
64,07/03/2019 0:34,0.69,0.003
65,07/03/2019 0:49,0.69,0.003
66,07/03/2019 1:04,0.69,0.003
67,07/03/2019 1:19,0.75,0.003
68,07/03/2019 1:34,0.69,0.003
69,07/03/2019 1:49,0.69,0.003
70,07/03/2019 2:04,0.69,0.003
71,07/03/2019 2:19,0.69,0.003
72,07/03/2019 2:34,0.69,0.003
73,07/03/2019 2:49,0.69,0.003
74,07/03/2019 3:04,0.69,0.003
75,07/03/2019 3:19,0.69,0.003
76,07/03/2019 3:34,0.69,0.003
77,07/03/2019 3:49,0.63,0.003
78,07/03/2019 4:04,0.69,0.003
79,07/03/2019 4:19,0.63,0.003
80,07/03/2019 4:34,0.63,0.003
81,07/03/2019 4:49,0.63,0.003
82,07/03/2019 5:04,0.63,0.003
83,07/03/2019 5:19,0.63,0.003
84,07/03/2019 5:34,0.63,0.003
85,07/03/2019 5:49,0.69,0.003
86,07/03/2019 6:04,0.63,0.003
87,07/03/2019 6:19,0.63,0.003
88,07/03/2019 6:34,0.69,0.003
89,07/03/2019 6:49,0.69,0.003
90,07/03/2019 7:04,0.63,0.003
91,07/03/2019 7:19,0.69,0.003
92,07/03/2019 7:34,0.63,0.003
93,07/03/2019 7:49,0.63,0.003
94,07/03/2019 8:04,0.69,0.003
95,07/03/2019 8:19,0.69,0.003
96,07/03/2019 8:34,0.69,0.003
97,07/03/2019 8:49,0.69,0.003
98,07/03/2019 9:04,0.69,0.003
99,07/03/2019 9:19,0.75,0.003
100,07/03/2019 9:34,0.75,0.003
101,07/03/2019 9:49,0.75,0.003
102,07/03/2019 10:04,0.75,0.003
103,07/03/2019 10:19,0.81,0.003
104,07/03/2019 10:34,0.81,0.003
105,07/03/2019 10:49,0.81,0.003
106,07/03/2019 11:04,0.81,0.003
107,07/03/2019 11:19,0.81,0.003
108,07/03/2019 11:34,0.88,0.003
109,07/03/2019 11:49,0.88,0.003
110,07/03/2019 12:04,0.88,0.003
111,07/03/2019 12:19,0.88,0.003
112,07/03/2019 12:34,0.94,0.003
113,07/03/2019 12:49,0.94,0.003
114,07/03/2019 13:04,0.94,0.003
115,07/03/2019 13:19,1,0.003
116,07/03/2019 13:34,1,0.003
117,07/03/2019 13:49,1,0.003
118,07/03/2019 14:04,1,0.003
119,07/03/2019 14:19,1.06,0.003
120,07/03/2019 14:34,1.06,0.003
121,07/03/2019 14:49,1.06,0.003
122,07/03/2019 15:04,1.06,0.003
123,07/03/2019 15:19,1.13,0.003
124,07/03/2019 15:34,1.06,0.003
125,07/03/2019 15:49,1.13,0.003
126,07/03/2019 16:04,1.13,0.003
127,07/03/2019 16:19,1.13,0.003
128,07/03/2019 16:34,1.13,0.003
129,07/03/2019 16:49,1.13,0.003
130,07/03/2019 17:04,1.13,0.003
131,07/03/2019 17:19,1.13,0.003
132,07/03/2019 17:34,1.13,0.003
133,07/03/2019 17:49,1.13,0.003
134,07/03/2019 18:04,1.13,0.003
135,07/03/2019 18:19,1.13,0.003
136,07/03/2019 18:34,1.13,0.003
137,07/03/2019 18:49,1.13,0.003
138,07/03/2019 19:04,1.13,0.003
139,07/03/2019 19:19,1.13,0.003
140,07/03/2019 19:34,1.13,0.003
141,07/03/2019 19:49,1.13,0.003
142,07/03/2019 20:04,1.13,0.003
143,07/03/2019 20:19,1.13,0.003
144,07/03/2019 20:34,1.06,0.003
145,07/03/2019 20:49,1.06,0.003
146,07/03/2019 21:04,1.06,0.003
147,07/03/2019 21:19,1.06,0.003
148,07/03/2019 21:34,1.06,0.003
149,07/03/2019 21:49,1.06,0.003
150,07/03/2019 22:04,1.13,0.003
151,07/03/2019 22:19,1.06,0.003
152,07/03/2019 22:34,1.06,0.003
153,07/03/2019 22:49,1.06,0.003
154,07/03/2019 23:04,1.06,0.003
155,07/03/2019 23:19,1.13,0.003
156,07/03/2019 23:34,1.13,0.003
157,07/03/2019 23:49,1.13,0.003
158,08/03/2019 0:04,1.13,0.003
159,08/03/2019 0:19,1.13,0.003
160,08/03/2019 0:34,1.13,0.003
161,08/03/2019 0:49,1.06,0.003
162,08/03/2019 1:04,1.13,0.003
163,08/03/2019 1:19,1.13,0.003
164,08/03/2019 1:34,1.13,0.003
165,08/03/2019 1:49,1.13,0.003
166,08/03/2019 2:04,1.13,0.003
167,08/03/2019 2:19,1.13,0.003
168,08/03/2019 2:34,1.13,0.003
169,08/03/2019 2:49,1.13,0.003
170,08/03/2019 3:04,1.13,0.003
171,08/03/2019 3:19,1.13,0.003
172,08/03/2019 3:34,1.13,0.003
173,08/03/2019 3:49,1.06,0.003
174,08/03/2019 4:04,1.13,0.003
175,08/03/2019 4:19,1.06,0.003
176,08/03/2019 4:34,1.13,0.003
177,08/03/2019 4:49,1.13,0.003
178,08/03/2019 5:04,1.06,0.003
179,08/03/2019 5:19,1.13,0.003
180,08/03/2019 5:34,1.06,0.003
181,08/03/2019 5:49,1.06,0.003
182,08/03/2019 6:04,1.06,0.003
183,08/03/2019 6:19,1.06,0.003
184,08/03/2019 6:34,1.06,0.003
185,08/03/2019 6:49,1.06,0.003
186,08/03/2019 7:04,1.06,0.003
187,08/03/2019 7:19,1.06,0.003
188,08/03/2019 7:34,1,0.003
189,08/03/2019 7:49,1,0.003
190,08/03/2019 8:04,1,0.003
191,08/03/2019 8:19,1,0.003
192,08/03/2019 8:34,1,0.003
193,08/03/2019 8:49,1,0.003
194,08/03/2019 9:04,1,0.003
195,08/03/2019 9:19,1,0.003
196,08/03/2019 9:34,1,0.003
197,08/03/2019 9:49,1,0.003
198,08/03/2019 10:04,1.06,0.003
199,08/03/2019 10:19,1,0.003
200,08/03/2019 10:34,1.06,0.003
201,08/03/2019 10:49,1.06,0.003
202,08/03/2019 11:04,1.06,0.003
203,08/03/2019 11:19,1.06,0.003
204,08/03/2019 11:34,1.13,0.003
205,08/03/2019 11:49,1.13,0.003
206,08/03/2019 12:04,1.13,0.003
207,08/03/2019 12:19,1.13,0.003
208,08/03/2019 12:34,1.13,0.003
