Rec #,Date/Time,Temperature(degC),Pressure(psi)
1197,2019-01-01 0:03,3.31,0.003
1198,2019-01-01 0:18,3.31,0.003
1199,2019-01-01 0:33,3.31,0.003
1200,2019-01-01 0:48,3.31,0.003
1201,2019-01-01 1:03,3.31,0.003
1202,2019-01-01 1:18,3.31,0.003
1203,2019-01-01 1:33,3.31,0.003
1204,2019-01-01 1:48,3.31,0.003
1205,2019-01-01 2:03,3.31,0.003
1206,2019-01-01 2:18,3.25,0.003
1207,2019-01-01 2:33,3.31,0.003
1208,2019-01-01 2:48,3.31,0.003
1209,2019-01-01 3:03,3.31,0.003
1210,2019-01-01 3:18,3.31,0.003
1211,2019-01-01 3:33,3.31,0.003
1212,2019-01-01 3:48,3.31,0.003
1213,2019-01-01 4:03,3.31,0.003
1214,2019-01-01 4:18,3.31,0.003
1215,2019-01-01 4:33,3.31,0.003
1216,2019-01-01 4:48,3.31,0.003
1217,2019-01-01 5:03,3.31,0.003
1218,2019-01-01 5:18,3.31,0.003
1219,2019-01-01 5:33,3.25,0.003
1220,2019-01-01 5:48,3.31,0.003
1221,2019-01-01 6:03,3.31,0.003
1222,2019-01-01 6:18,3.31,0.003
1223,2019-01-01 6:33,3.31,0.003
1224,2019-01-01 6:48,3.31,0.003
1225,2019-01-01 7:03,3.25,0.003
1226,2019-01-01 7:18,3.25,0.003
1227,2019-01-01 7:33,3.31,0.003
1228,2019-01-01 7:48,3.25,0.003
1229,2019-01-01 8:03,3.25,0.003
1230,2019-01-01 8:18,3.25,0.003
1231,2019-01-01 8:33,3.25,0.003
1232,2019-01-01 8:48,3.25,0.003
1233,2019-01-01 9:03,3.31,0.003
1234,2019-01-01 9:18,3.31,0.003
1235,2019-01-01 9:33,3.31,0.003
1236,2019-01-01 9:48,3.31,0.003
1237,2019-01-01 10:03,3.38,0.003
1238,2019-01-01 10:18,3.38,0.003
1239,2019-01-01 10:33,3.38,0.003
1240,2019-01-01 10:48,3.38,0.003
1241,2019-01-01 11:03,3.44,0.003
1242,2019-01-01 11:18,3.44,0.003
1243,2019-01-01 11:33,3.5,0.003
1244,2019-01-01 11:48,3.5,0.003
1245,2019-01-01 12:03,3.56,0.003
1246,2019-01-01 12:18,3.63,0.003
1247,2019-01-01 12:33,3.63,0.003
1248,2019-01-01 12:48,3.63,0.003
1249,2019-01-01 13:03,3.63,0.003
1250,2019-01-01 13:18,3.63,0.003
1251,2019-01-01 13:33,3.69,0.003
1252,2019-01-01 13:48,3.69,0.003
1253,2019-01-01 14:03,3.69,0.003
1254,2019-01-01 14:18,3.69,0.003
1255,2019-01-01 14:33,3.69,0.003
1256,2019-01-01 14:48,3.75,0.003
1257,2019-01-01 15:03,3.75,0.003
1258,2019-01-01 15:18,3.69,0.003
1259,2019-01-01 15:33,3.75,0.003
1260,2019-01-01 15:48,3.75,0.003
1261,2019-01-01 16:03,3.69,0.003
1262,2019-01-01 16:18,3.69,0.003
1263,2019-01-01 16:33,3.69,0.003
1264,2019-01-01 16:48,3.69,0.003
1265,2019-01-01 17:03,3.75,0.003
1266,2019-01-01 17:18,3.75,0.003
1267,2019-01-01 17:33,3.69,0.003
1268,2019-01-01 17:48,3.69,0.003
1269,2019-01-01 18:03,3.69,0.003
1270,2019-01-01 18:18,3.69,0.003
1271,2019-01-01 18:33,3.69,0.003
1272,2019-01-01 18:48,3.63,0.003
1273,2019-01-01 19:03,3.63,0.003
1274,2019-01-01 19:18,3.63,0.003
1275,2019-01-01 19:33,3.63,0.003
1276,2019-01-01 19:48,3.63,0.003
1277,2019-01-01 20:03,3.63,0.003
1278,2019-01-01 20:18,3.63,0.003
1279,2019-01-01 20:33,3.63,0.003
1280,2019-01-01 20:48,3.63,0.003
1281,2019-01-01 21:03,3.63,0.003
1282,2019-01-01 21:18,3.63,0.003
1283,2019-01-01 21:33,3.63,0.003
1284,2019-01-01 21:48,3.63,0.003
1285,2019-01-01 22:03,3.63,0.003
1286,2019-01-01 22:18,3.63,0.003
1287,2019-01-01 22:33,3.63,0.003
1288,2019-01-01 22:48,3.63,0.003
1289,2019-01-01 23:03,3.63,0.003
1290,2019-01-01 23:18,3.63,0.003
1291,2019-01-01 23:33,3.63,0.003
1292,2019-01-01 23:48,3.63,0.003
1293,2019-01-02 0:03,3.63,0.003
1294,2019-01-02 0:18,3.63,0.003
1295,2019-01-02 0:33,3.63,0.003
1296,2019-01-02 0:48,3.56,0.003
1297,2019-01-02 1:03,3.56,0.003
1298,2019-01-02 1:18,3.56,0.003
1299,2019-01-02 1:33,3.56,0.003
1300,2019-01-02 1:48,3.5,0.003
1301,2019-01-02 2:03,3.5,0.003
1302,2019-01-02 2:18,3.5,0.003
1303,2019-01-02 2:33,3.5,0.003
1304,2019-01-02 2:48,3.56,0.003
1305,2019-01-02 3:03,3.56,0.003
1306,2019-01-02 3:18,3.56,0.003
1307,2019-01-02 3:33,3.56,0.003
1308,2019-01-02 3:48,3.56,0.003
1309,2019-01-02 4:03,3.56,0.003
1310,2019-01-02 4:18,3.56,0.003
1311,2019-01-02 4:33,3.56,0.003
1312,2019-01-02 4:48,3.5,0.003
1313,2019-01-02 5:03,3.56,0.003
1314,2019-01-02 5:18,3.56,0.003
1315,2019-01-02 5:33,3.56,0.003
1316,2019-01-02 5:48,3.56,0.003
1317,2019-01-02 6:03,3.56,0.003
1318,2019-01-02 6:18,3.56,0.003
1319,2019-01-02 6:33,3.56,0.003
1320,2019-01-02 6:48,3.56,0.003
1321,2019-01-02 7:03,3.56,0.003
1322,2019-01-02 7:18,3.63,0.003
1323,2019-01-02 7:33,3.56,0.003
1324,2019-01-02 7:48,3.56,0.003
1325,2019-01-02 8:03,3.63,0.003
1326,2019-01-02 8:18,3.63,0.003
1327,2019-01-02 8:33,3.63,0.003
1328,2019-01-02 8:48,3.56,0.003
1329,2019-01-02 9:03,3.63,0.003
1330,2019-01-02 9:18,3.63,0.003
1331,2019-01-02 9:33,3.63,0.003
1332,2019-01-02 9:48,3.63,0.003
1333,2019-01-02 10:03,3.63,0.003
1334,2019-01-02 10:18,3.69,0.003
1335,2019-01-02 10:33,3.69,0.003
1336,2019-01-02 10:48,3.69,0.003
1337,2019-01-02 11:03,3.69,0.003
1338,2019-01-02 11:18,3.69,0.003
1339,2019-01-02 11:33,3.69,0.003
1340,2019-01-02 11:48,3.69,0.003
1341,2019-01-02 12:03,3.75,0.003
1342,2019-01-02 12:18,3.75,0.003
1343,2019-01-02 12:33,3.75,0.003
1344,2019-01-02 12:48,3.81,0.003
1345,2019-01-02 13:03,3.81,0.003
1346,2019-01-02 13:18,3.81,0.003
1347,2019-01-02 13:33,3.75,0.003
1348,2019-01-02 13:48,3.75,0.003
1349,2019-01-02 14:03,3.75,0.003
1350,2019-01-02 14:18,3.75,0.003
1351,2019-01-02 14:33,3.75,0.003
1352,2019-01-02 14:48,3.69,0.003
1353,2019-01-02 15:03,3.69,0.003
1354,2019-01-02 15:18,3.69,0.003
1355,2019-01-02 15:33,3.69,0.003
1356,2019-01-02 15:48,3.69,0.003
1357,2019-01-02 16:03,3.69,0.003
1358,2019-01-02 16:18,3.69,0.003
1359,2019-01-02 16:33,3.69,0.003
1360,2019-01-02 16:48,3.69,0.003
1361,2019-01-02 17:03,3.69,0.003
1362,2019-01-02 17:18,3.63,0.003
1363,2019-01-02 17:33,3.63,0.003
1364,2019-01-02 17:48,3.63,0.003
1365,2019-01-02 18:03,3.63,0.003
1366,2019-01-02 18:18,3.63,0.003
1367,2019-01-02 18:33,3.63,0.003
1368,2019-01-02 18:48,3.69,0.003
1369,2019-01-02 19:03,3.69,0.003
1370,2019-01-02 19:18,3.69,0.003
1371,2019-01-02 19:33,3.69,0.003
1372,2019-01-02 19:48,3.69,0.003
1373,2019-01-02 20:03,3.69,0.003
1374,2019-01-02 20:18,3.69,0.003
1375,2019-01-02 20:33,3.75,0.003
1376,2019-01-02 20:48,3.75,0.003
1377,2019-01-02 21:03,3.75,0.003
1378,2019-01-02 21:18,3.75,0.003
1379,2019-01-02 21:33,3.75,0.003
1380,2019-01-02 21:48,3.81,0.003
1381,2019-01-02 22:03,3.81,0.003
1382,2019-01-02 22:18,3.81,0.003
1383,2019-01-02 22:33,3.88,0.003
1384,2019-01-02 22:48,3.88,0.003
1385,2019-01-02 23:03,3.88,0.003
1386,2019-01-02 23:18,3.88,0.003
1387,2019-01-02 23:33,3.94,0.003
1388,2019-01-02 23:48,3.94,0.003
1389,2019-01-03 0:03,3.94,0.003
1390,2019-01-03 0:18,4,0.003
1391,2019-01-03 0:33,4,0.003
1392,2019-01-03 0:48,4,0.003
1393,2019-01-03 1:03,4.06,0.003
1394,2019-01-03 1:18,4.06,0.003
1395,2019-01-03 1:33,4.06,0.003
1396,2019-01-03 1:48,4.06,0.003
1397,2019-01-03 2:03,4.13,0.003
1398,2019-01-03 2:18,4.19,0.003
1399,2019-01-03 2:33,4.19,0.003
1400,2019-01-03 2:48,4.19,0.003
