Rec #,Date/Time,Temperature(degC),Pressure(psi)
1,3-8-2023 11:58:20,3.25,0.153
2,3-8-2023 12:03:20,3.13,0.152
3,3-8-2023 12:08:20,3.06,0.153
4,3-8-2023 12:13:20,3.13,0.153
5,3-8-2023 12:18:20,3.13,0.153
6,3-8-2023 12:23:20,3.06,0.152
7,3-8-2023 12:28:20,3.13,0.152
8,3-8-2023 12:33:20,3.13,0.153
9,3-8-2023 12:38:20,3.13,0.153
10,3-8-2023 12:43:20,3.13,0.153
11,3-8-2023 12:48:20,3.13,0.152
12,3-8-2023 12:53:20,3.13,0.152
13,3-8-2023 12:58:20,3.13,0.153
14,3-8-2023 13:03:20,3.13,0.153
15,3-8-2023 13:08:20,3.13,0.153
16,3-8-2023 13:13:20,3.06,0.152
17,3-8-2023 13:18:20,3.06,0.153
18,3-8-2023 13:23:20,3.06,0.152
19,3-8-2023 13:28:20,3.06,0.153
20,3-8-2023 13:33:20,3.06,0.153
21,3-8-2023 13:38:20,3.13,0.153
22,3-8-2023 13:43:20,3.06,0.153
23,3-8-2023 13:48:20,3.13,0.153
24,3-8-2023 13:53:20,3.06,0.153
25,3-8-2023 13:58:20,3.13,0.152
26,3-8-2023 14:03:20,3.13,0.153
27,3-8-2023 14:08:20,3.13,0.153
28,3-8-2023 14:13:20,3.13,0.153
29,3-8-2023 14:18:20,3.13,0.153
30,3-8-2023 14:23:20,3.13,0.153
31,3-8-2023 14:28:20,3.13,0.154
32,3-8-2023 14:33:20,3.13,0.153
33,3-8-2023 14:38:20,3.13,0.153
34,3-8-2023 14:43:20,3.13,0.153
35,3-8-2023 14:48:20,3.13,0.153
36,3-8-2023 14:53:20,3.13,0.154
37,3-8-2023 14:58:20,3.13,0.154
38,3-8-2023 15:03:20,3.13,0.154
39,3-8-2023 15:08:20,3.13,0.154
40,3-8-2023 15:13:20,3.13,0.153
41,3-8-2023 15:18:20,3.13,0.154
42,3-8-2023 15:23:20,3.06,0.153
43,3-8-2023 15:28:20,3.06,0.154
44,3-8-2023 15:33:20,3.13,0.154
45,3-8-2023 15:38:20,3.13,0.153
46,3-8-2023 15:43:20,3.06,0.153
47,3-8-2023 15:48:20,3.13,0.154
48,3-8-2023 15:53:20,3.13,0.154
