site,date_m.d.y,time,total_cross_section_cm2,flow_rate_L.s,surface_tension_adjusted_flow_rate._L.s,year,month,day,DOY
w003Rm,2024-01-11,11:31,506,45.86102719,22.9305136,2024,1,11,11
w003Rm,2024-01-24,14:05,815,84.16523236,42.08261618,2024,1,24,24
w003Rm,2023-01-23,14:23,N/A,N/A,N/A,2023,1,23,23
w003Rm,2023-02-16,11:19,103.3,0.933433735,0.466716867,2023,2,16,47
w003Rm,2023-03-24,11:50,490,22.10526316,11.05263158,2023,3,24,83
w003Rm,2023-03-28,11:39,2524.5,32.09110169,16.04555085,2023,3,28,87
w003Rm,2023-03-06,N/A,N/A,0,N/A,2023,3,6,65
w003Rm,2024-02-13,14:15,260.25,14.29945055,7.149725275,2024,2,13,44
w003Rm,2024-02-29,12:55,539.75,47.76548673,23.88274336,2024,2,29,60
w003Rm,2023-04-20,10:45,0,0,0,2023,4,20,110
w003Rm,2024-03-22,12:32,182,4.37850842,2.18925421,2024,3,22,82
w003Rm,2023-05-02,11:30,0,0,0,2023,5,2,122
w003Rm,2023-05-16,11:22,0,0,0,2023,5,16,136
w003Rm,2024-04-12,12:50,127.5,1.093638313,0.546819157,2024,4,12,103
w003Rm,2023-06-01,N/A,0,0,0,2023,6,1,152
w003Rm,2024-04-25,11:50,0,0,0,2024,4,25,116
w003Rm,2023-07-01,N/A,0,0,0,2023,7,1,182
w003Rm,2024-05-08,11:46,0,0,0,2024,5,8,129
w003Rm,2024-05-27,N/A,0,0,0,2024,5,27,148
w003Rm,2023-08-01,N/A,0,0,0,2023,8,1,213
w003Rm,2024-06-03,10:39,0,0,0,2024,6,3,155
w003Rm,2023-09-01,N/A,0,0,0,2023,9,1,244
w003Rm,2023-10-19,14:10,N/A,N/A,N/A,2023,10,19,292
w003Rm,2023-11-07,14:41,895,9.891265597,4.945632799,2023,11,7,311
w003Rm,2023-11-23,13:15,118.75,3.551844467,1.775922233,2023,11,23,327
w003Rm,2023-12-04,13:15,257.425,23.22631579,11.61315789,2023,12,4,338
w003Rm,2022-04-14,N/A,N/A,2.820296192,N/A,2022,4,14,104
w003Rm,2023-12-07,11:30,434,35.96685083,17.98342541,2023,12,7,341
w003Rm,2023-12-14,14:04,352.5,25.17857143,12.58928571,2023,12,14,348
w003Rm,2023-12-27,14:32,160.5,5.440677966,2.720338983,2023,12,27,361
w003Rm,2022-04-26,11:03,N/A,7.325581395,N/A,2022,4,26,116
w003Rm,2022-05-03,12:36,N/A,0.742264732,N/A,2022,5,3,123
w003Rm,2022-05-15,11:34,N/A,0,N/A,2022,5,15,135
w003Rm,2022-06-03,15:50,N/A,0,N/A,2022,6,3,154
w003Rm,2022-06-19,12:26,N/A,0,N/A,2022,6,19,170
w003Rm,2022-07-06,17:00,N/A,0,N/A,2022,7,6,187
w003Rm,2022-07-21,11:45,N/A,0,N/A,2022,7,21,202
w003Rm,2022-08-01,11:45,N/A,0,N/A,2022,8,1,213
w003Rm,2022-09-01,11:45,N/A,0,N/A,2022,9,1,244
w003Rm,2022-11-15,12:26,N/A,2.020670778,N/A,2022,11,15,319
