site,date_m.d.y,time,total_cross_section_cm2,flow_rate_L.s,surface_tension_adjusted_flow_rate._L.s,year,month,day,DOY
w008im,2023-02-16,1:41,833.6199454,28.92537922,14.46268961,2023,2,16,47
w008im,2023-03-24,2:40,1187.732462,51.4693442,25.7346721,2023,3,24,83
w008im,2023-03-28,12:56,312.6063715,10.8510937,5.42554685,2023,3,28,87
w008im,2023-04-20,13:00,186.0817132,4.107714538,2.053857269,2023,4,20,110
w008im,2023-05-02,13:14,113.522036,2.803202347,1.401601174,2023,5,2,122
w008im,2023-05-16,13:25,N/A,0,0,2023,5,16,136
w008im,2023-06-01,16:30,0,0,0,2023,6,1,152
w008im,2023-07-01,N/A,0,0,0,2023,7,1,182
w008im,2023-08-01,N/A,0,0,0,2023,8,1,213
w008im,2024-01-11,13:05,532.0567416,25.9022037,12.95110185,2024,1,11,11
w008im,2024-01-24,9:45,1067.755436,54.36818162,27.18409081,2024,1,24,24
w008im,2023-09-01,N/A,0,0,0,2023,9,1,244
w008im,2022-04-14,16:20,1008.386689,38.54914644,19.27457322,2022,4,14,104
w008im,2023-10-19,15:30,N/A,N/A,N/A,2023,10,19,292
w008im,2024-02-13,16:04,312.6063715,13.4636305,6.731815249,2024,2,13,44
w008im,2024-02-29,15:03,665.4740631,32.2857247,16.14286235,2024,2,29,60
w008im,2024-03-01,10:30,611.2838643,34.31440097,17.15720049,2024,3,1,61
w008im,2024-03-08,11:40,312.6063715,11.97550052,5.98775026,2024,3,8,68
w008im,2024-03-22,14:04,113.522036,3.046119149,1.523059574,2024,3,22,82
w008im,2023-11-07,16:09,949.5254788,34.26605455,17.13302727,2023,11,7,311
w008im,2023-11-23,14:35,268.3755453,8.957272439,4.47863622,2023,11,23,327
w008im,2024-04-12,15:30,178.3535135,4.22452666,2.11226333,2024,4,12,103
w008im,2022-04-26,13:12,1127.560563,53.03099023,26.51549512,2022,4,26,116
w008im,2024-04-25,15:09,178.3535135,3.85982651,1.929913255,2024,4,25,116
w008im,2022-05-03,10:46,1187.732462,58.74460556,29.37230278,2022,5,3,123
w008im,2022-05-15,14:00,1038.012107,41.00069406,20.50034703,2022,5,15,135
w008im,2024-05-08,14:24,10.36230059,0,0,2024,5,8,129
w008im,2022-06-08,12:20,776.7286736,12.57442916,6.287214582,2022,6,8,159
w008im,2024-05-27,14:55,10.53246625,0,0,2024,5,27,148
w008im,2024-06-03,13:44,54.19851699,0.773479576,0.386739788,2024,6,3,155
w008im,2022-06-19,15:41,833.6199454,14.3551755,7.177587748,2022,6,19,170
w008im,2022-07-21,10:15,0,0,0,2022,7,21,202
w008im,2022-08-01,N/A,0,0,0,2022,8,1,213
w008im,2022-09-01,N/A,0,0,0,2022,9,1,244
w008im,2022-11-15,12:26,0,0,0,2022,11,15,319
w008im,2023-12-04,12:40,720.6518906,30.40795388,15.20397694,2023,12,4,338
w008im,2023-12-07,13:45,776.7286736,31.87025723,15.93512862,2023,12,7,341
w008im,2023-12-14,16:00,720.6518906,27.91096211,13.95548106,2023,12,14,348
w008im,2023-12-14,16:00,720.6518906,35.49913754,17.74956877,2023,12,14,348
w008im,2023-12-27,16:00,N/A,N/A,N/A,2023,12,27,361
