site,date_m.d.y,time,total_cross_section_cm2,flow_rate_L.s,surface_tension_adjusted_flow_rate._L.s,year,month,day,DOY
w009Lm,2024-01-11,N/A,2785,N/A,N/A,2024,1,11,11
w009Lm,2024-01-24,11:00,4225,239.6030246,119.8015123,2024,1,24,24
w009Lm,2023-02-16,13:27,624.3,2.364772727,1.182386364,2023,2,16,47
w009Lm,2023-03-24,14:05,1065,17.31144343,8.655721717,2023,3,24,83
w009Lm,2023-03-28,13:07,821,4.548943156,2.274471578,2023,3,28,87
w009Lm,2024-02-13,16:50,1330,15.70866142,7.854330709,2024,2,13,44
w009Lm,2024-02-29,15:15,3263.9,105.2305212,52.61526061,2024,2,29,60
w009Lm,2024-03-01,10:42,2768,98.85714286,49.42857143,2024,3,1,61
w009Lm,2023-04-20,13:10,754,2.47363305,1.236816525,2023,4,20,110
w009Lm,2024-03-08,12:00,1687,20.4567502,10.2283751,2024,3,8,68
w009Lm,2024-03-22,14:17,N/A,0,0,2024,3,22,82
w009Lm,2023-05-02,13:24,352.5,1.403761062,0.701880531,2023,5,2,122
w009Lm,2023-05-16,13:33,755,N/A,N/A,2023,5,16,136
w009Lm,2024-04-12,15:45,841,4.266972699,2.133486349,2024,4,12,103
w009Lm,2023-06-01,16:51,0,0,0,2023,6,1,152
w009Lm,2024-04-25,14:49,837,3.788600168,1.894300084,2024,4,25,116
w009Lm,2023-07-01,N/A,0,0,0,2023,7,1,182
w009Lm,2024-05-08,14:06,639,1.808149406,0.904074703,2024,5,8,129
w009Lm,2024-05-27,15:11,621,1.417448643,0.708724322,2024,5,27,148
w009Lm,2023-08-01,N/A,0,0,0,2023,8,1,213
w009Lm,2024-06-03,14:00,888,5.037821483,2.518910741,2024,6,3,155
w009Lm,2022-05-15,14:20,660.625,8.798557159,4.399278579,2022,5,15,135
w009Lm,2022-05-03,10:30,770,13.93244873,6.966224367,2022,5,3,123
w009Lm,2022-06-19,15:11,977.5,10.8812616,5.440630798,2022,6,19,170
w009Lm,2022-06-08,14:02,441,2.602622951,1.301311475,2022,6,8,159
w009Lm,2022-07-21,10:30,0,0,0,2022,7,21,202
w009Lm,2022-07-07,N/A,0,0,0,2022,7,7,188
w009Lm,2022-08-01,N/A,0,0,0,2022,8,1,213
w009Lm,2022-09-01,N/A,0,0,0,2022,9,1,244
w009Lm,2022-11-10,11:52,0,0,0,2022,11,10,314
w009Lm,2023-09-01,N/A,0,0,0,2023,9,1,244
w009Lm,2023-10-19,15:35,N/A,0,0,2023,10,19,292
w009Lm,2023-11-07,16:17,911.75,8.810468521,4.405234261,2023,11,7,311
w009Lm,2023-11-23,14:45,747.5,3.972893968,1.986446984,2023,11,23,327
w009Lm,2023-12-07,14:00,1897,55.57617188,27.78808594,2023,12,7,341
w009Lm,2023-12-14,16:10,977.25,21.33733624,10.66866812,2023,12,14,348
w009Lm,2023-12-27,16:36,585,3.507895263,1.753947631,2023,12,27,361
