"DOY","date","time","day","month","year","daily_rain"
1,2024-01-01,"23:55",1,1,2024,0.1
2,2024-01-02,"23:55",2,1,2024,6.1
3,2024-01-03,"23:55",3,1,2024,0.4
4,2024-01-04,"23:55",4,1,2024,2
5,2024-01-05,"23:55",5,1,2024,10.7
6,2024-01-06,"23:55",6,1,2024,3
7,2024-01-07,"0:00",7,1,2024,3
8,2024-01-08,"23:55",8,1,2024,0.2
9,2024-01-09,"23:55",9,1,2024,2.1
10,2024-01-10,"23:55",10,1,2024,0.2
11,2024-01-11,"23:55",11,1,2024,0
12,2024-01-12,"23:55",12,1,2024,0
13,2024-01-13,"23:55",13,1,2024,0
14,2024-01-14,"23:55",14,1,2024,0
15,2024-01-15,"23:55",15,1,2024,0
16,2024-01-16,"23:55",16,1,2024,0
17,2024-01-17,"23:55",17,1,2024,0
18,2024-01-18,"23:55",18,1,2024,0
19,2024-01-19,"23:55",19,1,2024,0
20,2024-01-20,"23:55",20,1,2024,0.1
21,2024-01-21,"23:55",21,1,2024,0.1
22,2024-01-22,"23:55",22,1,2024,14.6
23,2024-01-23,"23:55",23,1,2024,2.1
24,2024-01-24,"23:55",24,1,2024,11.6
25,2024-01-25,"23:55",25,1,2024,2.6
26,2024-01-26,"23:55",26,1,2024,11.9
27,2024-01-27,"23:55",27,1,2024,39.8
28,2024-01-28,"23:55",28,1,2024,12.6
29,2024-01-29,"23:55",29,1,2024,1.2
30,2024-01-30,"23:55",30,1,2024,3.1
31,2024-01-31,"23:55",31,1,2024,3.6
32,2024-02-01,"23:55",1,2,2024,0.9
33,2024-02-02,"23:55",2,2,2024,0.8
34,2024-02-03,"23:55",3,2,2024,0.1
35,2024-02-04,"23:55",4,2,2024,0.1
36,2024-02-05,"23:55",5,2,2024,0
37,2024-02-06,"23:55",6,2,2024,0
38,2024-02-07,"23:55",7,2,2024,1.7
39,2024-02-08,"23:55",8,2,2024,1.2
40,2024-02-09,"23:55",9,2,2024,0.1
41,2024-02-10,"23:55",10,2,2024,5.3
42,2024-02-11,"23:55",11,2,2024,14.6
43,2024-02-12,"23:56",12,2,2024,2.5
44,2024-02-13,"23:55",13,2,2024,0.2
45,2024-02-14,"23:55",14,2,2024,0.1
46,2024-02-15,"23:55",15,2,2024,0.2
47,2024-02-16,"23:55",16,2,2024,0.2
48,2024-02-17,"23:55",17,2,2024,0
49,2024-02-18,"23:55",18,2,2024,0
50,2024-02-19,"23:55",19,2,2024,8
51,2024-02-20,"23:55",20,2,2024,4.9
52,2024-02-21,"23:55",21,2,2024,15.7
53,2024-02-22,"23:55",22,2,2024,0.7
54,2024-02-23,"23:55",23,2,2024,0
55,2024-02-24,"23:55",24,2,2024,0.7
56,2024-02-25,"23:55",25,2,2024,0.5
57,2024-02-26,"23:55",26,2,2024,0
58,2024-02-27,"23:55",27,2,2024,0.1
59,2024-02-28,"23:55",28,2,2024,21.6
60,2024-02-29,"23:55",29,2,2024,2.6
61,2024-03-01,"23:55",1,3,2024,4.6
62,2024-03-02,"23:55",2,3,2024,4.8
63,2024-03-03,"23:55",3,3,2024,3.9
64,2024-03-04,"23:55",4,3,2024,4
