"site","date_m.d.y","time","total_cross_section_cm2","flow_rate_L.s","surface_tension_adjusted_flow_rate._L.s","year","month","day","DOY"
"w001Rm",2024-01-11,"10:25","269","20.27638191","10.13819095",2024,1,11,11
"w003Rm",2024-01-11,"11:31","506","45.86102719","22.9305136",2024,1,11,11
"w004Rm",2024-01-11,"11:45","1228","32.95169946","16.47584973",2024,1,11,11
"w007Lm",2024-01-11,"12:45","1210","46.24203822","23.12101911",2024,1,11,11
"w009Lm",2024-01-11,"N/A","2785","N/A","N/A",2024,1,11,11
"w007Lm",2023-01-23,"13:45","440.64","16.12097561","8.060487805",2023,1,23,23
"w001Rm",2023-01-23,"12:00","366","8.478764479","4.239382239",2023,1,23,23
"w001Rm",2024-01-24,"12:25","610","40.89385475","20.44692737",2024,1,24,24
"w003Rm",2024-01-24,"14:05","815","84.16523236","42.08261618",2024,1,24,24
"w004Rm",2024-01-24,"14:30","1310","48.04400978","24.02200489",2024,1,24,24
"w007Lm",2024-01-24,"15:08","2190","172.4409449","86.22047244",2024,1,24,24
"w009Lm",2024-01-24,"11:00","4225","239.6030246","119.8015123",2024,1,24,24
"w003Rm",2023-01-23,"14:23","N/A","N/A","N/A",2023,1,23,23
"w006Rm",2023-01-23,"12:55","N/A","5.29552335","N/A",2023,1,23,23
"w002Rm",2023-01-23,"14:45","N/A","5.29313994","N/A",2023,1,23,23
"w007Lm",2023-02-16,"11:54","68.9","1.30163728","0.65081864",2023,2,16,47
"w009Lm",2023-02-16,"13:27","624.3","2.364772727","1.182386364",2023,2,16,47
"w001Rm",2023-02-16,"10:04","146","1.622222222","0.811111111",2023,2,16,47
"w003Rm",2023-02-16,"11:19","103.3","0.933433735","0.466716867",2023,2,16,47
"w010im",2023-02-16,"13:04","1810","60.97972973","30.48986486",2023,2,16,47
"w001Rm",2022-04-14,"N/A","N/A","0","0",2022,4,14,104
"w001Rm",2022-04-26,"12:15","N/A","0","0",2022,4,26,116
"w006Rm",2023-02-16,"12:19","451.2944829","32.89177367","16.44588684",2023,2,16,47
"w008im",2023-02-16,"1:41","833.6199454","28.92537922","14.46268961",2023,2,16,47
"w002Rm",2023-02-16,"11:00","N/A","2.576382123","N/A",2023,2,16,47
"w004Rm",2023-03-24,"13:30","1195","12.79214987","6.396074933",2023,3,24,83
"w007Lm",2023-03-06,"12:28","349.5","9.076567164","4.538283582",2023,3,6,65
"w009Lm",2023-03-24,"14:05","1065","17.31144343","8.655721717",2023,3,24,83
"w001Rm",2023-03-06,"11:05","0","0","0",2023,3,6,65
"w007Lm",2023-03-24,"13:54","431.5","11.24255583","5.621277916",2023,3,24,83
"w009Lm",2023-03-28,"13:07","821","4.548943156","2.274471578",2023,3,28,87
"w001Rm",2023-03-24,"11:59","58.05","2.66750547","1.333752735",2023,3,24,83
"w007Lm",2023-03-28,"10:55","794","3.047234796","1.523617398",2023,3,28,87
"w003Rm",2023-03-24,"11:50","490","22.10526316","11.05263158",2023,3,24,83
"w001Rm",2023-03-28,"9:49","627.2","11.29666041","5.648330206",2023,3,28,87
"w003Rm",2023-03-28,"11:39","2524.5","32.09110169","16.04555085",2023,3,28,87
"w003Rm",2023-03-06,"N/A","N/A","0","N/A",2023,3,6,65
"w010im",2023-03-28,"12:35","1198","13.52233327","6.761166633",2023,3,28,87
"w010im",2023-03-24,"14:15","2980","5.804494382","2.902247191",2023,3,24,83
"w006Rm",2023-03-06,"11:32","605.2884075","44.5771968","22.2885984",2023,3,6,65
"w008im",2023-03-24,"2:40","1187.732462","51.4693442","25.7346721",2023,3,24,83
"w006Rm",2023-03-24,"9:57","808.0823792","73.56037722","36.78018861",2023,3,24,83
"w006Rm",2023-03-28,"8:58","501.3995927","38.15200183","19.07600092",2023,3,28,87
"w008im",2023-03-28,"12:56","312.6063715","10.8510937","5.42554685",2023,3,28,87
"w006Rm",2023-03-06,"11:32","N/A","5.793018178","N/A",2023,3,6,65
"w001Rm",2024-02-13,"12:33","156","6.614840989","3.307420495",2024,2,13,44
"w003Rm",2024-02-13,"14:15","260.25","14.29945055","7.149725275",2024,2,13,44
"w004Rm",2024-02-13,"15:00","905","19.39978564","9.699892819",2024,2,13,44
"w007Lm",2024-02-13,"16:00","625","7.029053421","3.51452671",2024,2,13,44
"w009Lm",2024-02-13,"16:50","1330","15.70866142","7.854330709",2024,2,13,44
