"month","mean_flow","min_flow","max_flow","variance_flow"
1,40.49785462,32.95169946,48.04400978,113.888915397589
2,22.46355197,19.39978564,25.5273183,18.7733282496833
3,11.389022749,9.985895628,12.79214987,3.9375314353715
4,5.58819165566667,1.655407323,13.08370044,42.171225030895
5,1.1975683875,0,4.595850622,5.14098768123749
6,0.4395779415,0,0.879155883,0.386457533306755
7,0,0,0,NA
8,0,0,0,NA
9,0,0,0,NA
11,15.109085625,11.64158345,18.5765878,24.0471426672595
12,30.6708405133333,11.0550113,51.37004405,407.205741351736
