"month","mean_flow","min_flow","max_flow","variance_flow"
1,78.2679862433333,16.12097561,172.4409449,6878.22920980157
2,25.3709763236667,1.30163728,67.78223827,1357.23717882342
3,16.1750799426667,2.031346306,59.35714286,465.368973175187
4,4.16875067,1.975243613,7.882165605,6.64038854647298
5,4.349988226,0.258133971,20.1754386,61.2112190654011
6,1.616618224,0,2.474444836,1.96254284443294
7,0.197404622,0,0.592213866,0.116905754360889
8,0,0,0,0
9,0,0,0,0
10,0,0,0,NA
11,2.6608272015,0,8.656516353,16.854204678695
12,22.46017617775,1.357299071,44.15631848,310.424856405646
