"month","mean_flow","min_flow","max_flow","variance_flow"
1,40.13519266,25.9022037,54.36818162,405.155949470964
2,24.89157814,13.4636305,32.2857247,100.771470883175
3,22.3312917078,3.046119149,51.4693442,400.894062168583
4,20.7544408756,3.85982651,53.03099023,548.551685161772
5,17.0914169945,0,58.74460556,677.428865984126
6,6.925771059,0,14.3551755,57.6401279811399
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,NA,Inf,-Inf,NA
11,14.407775663,0,34.26605455,315.82161265202
12,31.42207769,27.91096211,35.49913754,10.0598872128948
