Rec #,Date/Time,Temperature(degC),Pressure(psi)
1,10-23-2019 15:17:14,8.13,-0.01
2,10-23-2019 15:32:14,7.88,-0.013
3,10-23-2019 15:47:14,7.88,-0.013
4,10-23-2019 16:02:14,7.88,-0.013
5,10-23-2019 16:17:14,7.88,-0.013
6,10-23-2019 16:32:14,7.88,-0.013
7,10-23-2019 16:47:14,7.94,-0.013
8,10-23-2019 17:02:14,7.94,-0.013
9,10-23-2019 17:17:14,7.94,-0.013
10,10-23-2019 17:32:14,7.94,-0.013
11,10-23-2019 17:47:14,7.94,-0.013
12,10-23-2019 18:02:14,8,-0.012
13,10-23-2019 18:17:14,8,-0.012
14,10-23-2019 18:32:14,8,-0.012
15,10-23-2019 18:47:14,8,-0.012
16,10-23-2019 19:02:14,8,-0.011
17,10-23-2019 19:17:14,7.94,-0.01
18,10-23-2019 19:32:14,8,-0.011
19,10-23-2019 19:47:14,7.94,-0.011
20,10-23-2019 20:02:14,8,-0.01
21,10-23-2019 20:17:14,7.94,-0.01
22,10-23-2019 20:32:14,7.94,-0.01
23,10-23-2019 20:47:14,7.94,-0.01
24,10-23-2019 21:02:14,7.94,-0.01
25,10-23-2019 21:17:14,7.88,-0.01
26,10-23-2019 21:32:14,7.88,-0.01
27,10-23-2019 21:47:14,7.88,-0.01
28,10-23-2019 22:02:14,7.88,-0.01
29,10-23-2019 22:17:14,7.88,-0.01
30,10-23-2019 22:32:14,7.81,-0.01
31,10-23-2019 22:47:14,7.81,-0.01
32,10-23-2019 23:02:14,7.81,-0.01
33,10-23-2019 23:17:14,7.81,-0.009
34,10-23-2019 23:32:14,7.81,-0.009
35,10-23-2019 23:47:14,7.75,-0.01
36,10-24-2019 0:02:14,7.75,-0.01
37,10-24-2019 0:17:14,7.69,-0.009
38,10-24-2019 0:32:14,7.69,-0.01
39,10-24-2019 0:47:14,7.63,-0.01
40,10-24-2019 1:02:14,7.63,-0.01
41,10-24-2019 1:17:14,7.63,-0.01
42,10-24-2019 1:32:14,7.56,-0.009
43,10-24-2019 1:47:14,7.56,-0.007
44,10-24-2019 2:02:14,7.56,-0.006
45,10-24-2019 2:17:14,7.56,-0.005
46,10-24-2019 2:32:14,7.56,-0.005
47,10-24-2019 2:47:14,7.56,-0.006
48,10-24-2019 3:02:14,7.56,-0.006
49,10-24-2019 3:17:14,7.56,-0.006
50,10-24-2019 3:32:14,7.63,-0.006
51,10-24-2019 3:47:14,7.56,-0.006
52,10-24-2019 4:02:14,7.56,-0.006
53,10-24-2019 4:17:14,7.56,-0.006
54,10-24-2019 4:32:14,7.56,-0.006
55,10-24-2019 4:47:14,7.56,-0.006
56,10-24-2019 5:02:14,7.56,-0.006
57,10-24-2019 5:17:14,7.56,-0.005
58,10-24-2019 5:32:14,7.63,-0.005
59,10-24-2019 5:47:14,7.56,-0.006
60,10-24-2019 6:02:14,7.56,-0.006
61,10-24-2019 6:17:14,7.56,-0.006
62,10-24-2019 6:32:14,7.56,-0.006
63,10-24-2019 6:47:14,7.56,-0.006
64,10-24-2019 7:02:14,7.56,-0.006
65,10-24-2019 7:17:14,7.56,-0.006
66,10-24-2019 7:32:14,7.56,-0.006
67,10-24-2019 7:47:14,7.56,-0.006
68,10-24-2019 8:02:14,7.56,-0.006
69,10-24-2019 8:17:14,7.56,-0.006
70,10-24-2019 8:32:14,7.56,-0.006
71,10-24-2019 8:47:14,7.56,-0.006
72,10-24-2019 9:02:14,7.56,-0.006
73,10-24-2019 9:17:14,7.56,-0.006
74,10-24-2019 9:32:14,7.56,-0.006
75,10-24-2019 9:47:14,7.63,-0.006
76,10-24-2019 10:02:14,7.63,-0.006
77,10-24-2019 10:17:14,7.63,-0.006
78,10-24-2019 10:32:14,7.63,-0.005
79,10-24-2019 10:47:14,7.63,-0.005
80,10-24-2019 11:02:14,7.69,-0.005
81,10-24-2019 11:17:14,7.69,-0.005
82,10-24-2019 11:32:14,7.69,-0.005
83,10-24-2019 11:47:14,7.69,-0.006
84,10-24-2019 12:02:14,7.69,-0.005
85,10-24-2019 12:17:14,7.69,-0.006
86,10-24-2019 12:32:14,7.75,-0.005
87,10-24-2019 12:47:14,7.75,-0.005
88,10-24-2019 13:02:14,7.75,-0.005
89,10-24-2019 13:17:14,7.75,-0.005
90,10-24-2019 13:32:14,7.81,-0.005
91,10-24-2019 13:47:14,7.81,-0.006
92,10-24-2019 14:02:14,7.88,-0.005
93,10-24-2019 14:17:14,7.88,-0.006
94,10-24-2019 14:32:14,7.88,-0.006
95,10-24-2019 14:47:14,7.94,-0.006
96,10-24-2019 15:02:14,7.94,-0.006
97,10-24-2019 15:17:14,7.94,-0.006
98,10-24-2019 15:32:14,8,-0.006
99,10-24-2019 15:47:14,8,-0.006
100,10-24-2019 16:02:14,8,-0.006
101,10-24-2019 16:17:14,8.06,-0.005
102,10-24-2019 16:32:14,8,-0.006
103,10-24-2019 16:47:14,8.06,-0.005
104,10-24-2019 17:02:14,8.06,-0.005
105,10-24-2019 17:17:14,8.06,-0.005
106,10-24-2019 17:32:14,8.06,-0.006
107,10-24-2019 17:47:14,8.13,-0.005
108,10-24-2019 18:02:14,8.13,-0.005
109,10-24-2019 18:17:14,8.13,-0.006
110,10-24-2019 18:32:14,8.13,-0.005
111,10-24-2019 18:47:14,8.13,-0.005
112,10-24-2019 19:02:14,8.19,-0.006
113,10-24-2019 19:17:14,8.13,-0.005
114,10-24-2019 19:32:14,8.19,-0.005
115,10-24-2019 19:47:14,8.19,-0.005
116,10-24-2019 20:02:14,8.19,-0.005
117,10-24-2019 20:17:14,8.19,-0.006
118,10-24-2019 20:32:14,8.19,-0.005
119,10-24-2019 20:47:14,8.25,-0.006
120,10-24-2019 21:02:14,8.25,-0.006
121,10-24-2019 21:17:14,8.25,-0.005
122,10-24-2019 21:32:14,8.25,-0.005
123,10-24-2019 21:47:14,8.25,-0.005
124,10-24-2019 22:02:14,8.25,-0.005
125,10-24-2019 22:17:14,8.25,-0.005
126,10-24-2019 22:32:14,8.31,-0.005
127,10-24-2019 22:47:14,8.31,-0.005
128,10-24-2019 23:02:14,8.31,-0.005
129,10-24-2019 23:17:14,8.31,-0.005
130,10-24-2019 23:32:14,8.31,-0.005
131,10-24-2019 23:47:14,8.31,-0.005
132,10-25-2019 0:02:14,8.38,-0.005
133,10-25-2019 0:17:14,8.38,-0.005
134,10-25-2019 0:32:14,8.38,-0.005
135,10-25-2019 0:47:14,8.38,-0.005
136,10-25-2019 1:02:14,8.38,-0.005
137,10-25-2019 1:17:14,8.38,-0.005
138,10-25-2019 1:32:14,8.38,-0.005
139,10-25-2019 1:47:14,8.38,-0.005
140,10-25-2019 2:02:14,8.38,-0.005
141,10-25-2019 2:17:14,8.44,-0.005
142,10-25-2019 2:32:14,8.44,-0.005
143,10-25-2019 2:47:14,8.44,-0.005
144,10-25-2019 3:02:14,8.44,-0.005
145,10-25-2019 3:17:14,8.44,-0.005
146,10-25-2019 3:32:14,8.44,-0.005
147,10-25-2019 3:47:14,8.44,-0.005
148,10-25-2019 4:02:14,8.44,-0.005
149,10-25-2019 4:17:14,8.5,-0.005
150,10-25-2019 4:32:14,8.5,-0.005
151,10-25-2019 4:47:14,8.5,-0.005
152,10-25-2019 5:02:14,8.5,-0.005
153,10-25-2019 5:17:14,8.5,-0.005
154,10-25-2019 5:32:14,8.5,-0.005
155,10-25-2019 5:47:14,8.5,-0.005
156,10-25-2019 6:02:14,8.5,-0.005
157,10-25-2019 6:17:14,8.56,-0.005
158,10-25-2019 6:32:14,8.56,-0.005
159,10-25-2019 6:47:14,8.56,-0.005
160,10-25-2019 7:02:14,8.56,-0.005
161,10-25-2019 7:17:14,8.56,-0.005
162,10-25-2019 7:32:14,8.56,-0.005
163,10-25-2019 7:47:14,8.56,-0.006
164,10-25-2019 8:02:14,8.63,-0.006
165,10-25-2019 8:17:14,8.63,-0.006
166,10-25-2019 8:32:14,8.63,-0.006
167,10-25-2019 8:47:14,8.63,-0.007
168,10-25-2019 9:02:14,8.63,-0.007
169,10-25-2019 9:17:14,8.69,-0.007
170,10-25-2019 9:32:14,8.69,-0.008
171,10-25-2019 9:47:14,8.69,-0.008
172,10-25-2019 10:02:14,8.69,-0.008
173,10-25-2019 10:17:14,8.69,-0.008
174,10-25-2019 10:32:14,8.69,-0.008
175,10-25-2019 10:47:14,8.69,-0.008
176,10-25-2019 11:02:14,8.69,-0.008
177,10-25-2019 11:17:14,8.75,-0.008
178,10-25-2019 11:32:14,8.75,-0.009
179,10-25-2019 11:47:14,8.75,-0.009
180,10-25-2019 12:02:14,8.75,-0.009
181,10-25-2019 12:17:14,8.75,-0.009
182,10-25-2019 12:32:14,8.75,-0.009
183,10-25-2019 12:47:14,8.75,-0.009
184,10-25-2019 13:02:14,8.75,-0.009
185,10-25-2019 13:17:14,8.75,-0.009
186,10-25-2019 13:32:14,8.75,-0.009
187,10-25-2019 13:47:14,8.75,-0.009
188,10-25-2019 14:02:14,8.75,-0.009
189,10-25-2019 14:17:14,8.75,-0.009
