Rec #,Date/Time,Temperature(degC),Pressure(psi)
1,2023-01-18 13:53,5.81,0.188
2,2023-01-18 13:58,5.69,0.189
3,2023-01-18 14:03,5.69,0.189
4,2023-01-18 14:08,5.63,0.188
5,2023-01-18 14:13,5.69,0.189
6,2023-01-18 14:18,5.69,0.189
7,2023-01-18 14:23,5.69,0.189
8,2023-01-18 14:28,5.69,0.189
9,2023-01-18 14:33,5.75,0.189
10,2023-01-18 14:38,5.69,0.189
11,2023-01-18 14:43,5.69,0.189
12,2023-01-18 14:48,5.69,0.189
13,2023-01-18 14:53,5.75,0.189
14,2023-01-18 14:58,5.75,0.189
15,2023-01-18 15:03,5.75,0.189
16,2023-01-18 15:08,5.75,0.189
17,2023-01-18 15:13,5.75,0.189
18,2023-01-18 15:18,5.75,0.189
19,2023-01-18 15:23,5.75,0.189
20,2023-01-18 15:28,5.75,0.189
21,2023-01-18 15:33,5.75,0.188
22,2023-01-18 15:38,5.75,0.189
23,2023-01-18 15:43,5.69,0.188
24,2023-01-18 15:48,5.75,0.189
25,2023-01-18 15:53,5.69,0.188
26,2023-01-18 15:58,5.69,0.184
27,2023-01-18 16:03,5.69,0.184
28,2023-01-18 16:08,5.69,0.184
29,2023-01-18 16:13,5.69,0.184
30,2023-01-18 16:18,5.69,0.184
31,2023-01-18 16:23,5.69,0.184
32,2023-01-18 16:28,5.63,0.184
33,2023-01-18 16:33,5.63,0.184
34,2023-01-18 16:38,5.63,0.184
35,2023-01-18 16:43,5.63,0.184
36,2023-01-18 16:48,5.63,0.184
37,2023-01-18 16:53,5.63,0.184
38,2023-01-18 16:58,5.63,0.184
39,2023-01-18 17:03,5.56,0.184
40,2023-01-18 17:08,5.63,0.185
41,2023-01-18 17:13,5.56,0.184
42,2023-01-18 17:18,5.63,0.185
43,2023-01-18 17:23,5.63,0.185
44,2023-01-18 17:28,5.63,0.184
45,2023-01-18 17:33,5.56,0.184
46,2023-01-18 17:38,5.56,0.185
47,2023-01-18 17:43,5.56,0.185
48,2023-01-18 17:48,5.56,0.185
49,2023-01-18 17:53,5.56,0.185
50,2023-01-18 17:58,5.56,0.185
51,2023-01-18 18:03,5.56,0.185
52,2023-01-18 18:08,5.56,0.185
53,2023-01-18 18:13,5.56,0.185
54,2023-01-18 18:18,5.56,0.185
55,2023-01-18 18:23,5.56,0.185
56,2023-01-18 18:28,5.56,0.185
57,2023-01-18 18:33,5.56,0.186
58,2023-01-18 18:38,5.56,0.185
59,2023-01-18 18:43,5.56,0.185
60,2023-01-18 18:48,5.56,0.186
61,2023-01-18 18:53,5.56,0.185
62,2023-01-18 18:58,5.5,0.185
63,2023-01-18 19:03,5.56,0.185
64,2023-01-18 19:08,5.56,0.186
65,2023-01-18 19:13,5.5,0.186
66,2023-01-18 19:18,5.5,0.186
67,2023-01-18 19:23,5.5,0.186
68,2023-01-18 19:28,5.5,0.185
69,2023-01-18 19:33,5.5,0.185
70,2023-01-18 19:38,5.44,0.186
71,2023-01-18 19:43,5.5,0.185
72,2023-01-18 19:48,5.5,0.186
73,2023-01-18 19:53,5.44,0.186
74,2023-01-18 19:58,5.44,0.185
75,2023-01-18 20:03,5.44,0.186
76,2023-01-18 20:08,5.44,0.185
77,2023-01-18 20:13,5.44,0.185
78,2023-01-18 20:18,5.38,0.185
79,2023-01-18 20:23,5.38,0.185
80,2023-01-18 20:28,5.44,0.186
81,2023-01-18 20:33,5.38,0.186
82,2023-01-18 20:38,5.38,0.185
83,2023-01-18 20:43,5.38,0.186
84,2023-01-18 20:48,5.38,0.186
85,2023-01-18 20:53,5.38,0.185
86,2023-01-18 20:58,5.38,0.185
87,2023-01-18 21:03,5.31,0.185
88,2023-01-18 21:08,5.31,0.185
89,2023-01-18 21:13,5.38,0.185
90,2023-01-18 21:18,5.31,0.185
91,2023-01-18 21:23,5.31,0.186
92,2023-01-18 21:28,5.31,0.186
93,2023-01-18 21:33,5.31,0.185
94,2023-01-18 21:38,5.31,0.185
95,2023-01-18 21:43,5.31,0.185
96,2023-01-18 21:48,5.31,0.185
97,2023-01-18 21:53,5.31,0.185
98,2023-01-18 21:58,5.25,0.185
99,2023-01-18 22:03,5.25,0.185
100,2023-01-18 22:08,5.25,0.185
101,2023-01-18 22:13,5.25,0.185
102,2023-01-18 22:18,5.25,0.185
103,2023-01-18 22:23,5.25,0.185
104,2023-01-18 22:28,5.25,0.184
105,2023-01-18 22:33,5.25,0.184
106,2023-01-18 22:38,5.25,0.185
107,2023-01-18 22:43,5.25,0.185
108,2023-01-18 22:48,5.19,0.184
109,2023-01-18 22:53,5.25,0.185
110,2023-01-18 22:58,5.25,0.185
111,2023-01-18 23:03,5.25,0.184
112,2023-01-18 23:08,5.25,0.185
113,2023-01-18 23:13,5.25,0.184
114,2023-01-18 23:18,5.25,0.184
115,2023-01-18 23:23,5.19,0.185
116,2023-01-18 23:28,5.19,0.184
117,2023-01-18 23:33,5.13,0.184
118,2023-01-18 23:38,5.19,0.184
119,2023-01-18 23:43,5.19,0.184
120,2023-01-18 23:48,5.13,0.184
121,2023-01-18 23:53,5.13,0.184
122,2023-01-18 23:58,5.19,0.184
123,2023-01-19 0:03,5.13,0.179
124,2023-01-19 0:08,5.13,0.179
125,2023-01-19 0:13,5.13,0.178
126,2023-01-19 0:18,5.13,0.179
127,2023-01-19 0:23,5.13,0.179
128,2023-01-19 0:28,5.13,0.18
129,2023-01-19 0:33,5.13,0.179
130,2023-01-19 0:38,5.13,0.18
131,2023-01-19 0:43,5.13,0.179
132,2023-01-19 0:48,5.13,0.18
133,2023-01-19 0:53,5.13,0.18
134,2023-01-19 0:58,5.13,0.18
135,2023-01-19 1:03,5.13,0.18
136,2023-01-19 1:08,5.13,0.18
137,2023-01-19 1:13,5.13,0.18
138,2023-01-19 1:18,5.13,0.179
